MethodName,Energy(J),Invocations,TotalTime(ms)
"java.util.concurrent.FutureTask.runAndReset()",0.000021590,0,0.000
"java.lang.ClassLoader.findBootstrapClassOrNull(java.lang.String)",0.027390031,0,0.000
"java.lang.invoke.MethodHandle.setAsTypeCache(java.lang.invoke.MethodType)",0.006847508,0,0.000
"java.util.regex.Pattern.compile(java.lang.String)",0.013695015,0,0.000
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef.<init>(java.lang.Object, java.lang.ref.Cleaner, java.lang.Runnable)",0.006847508,0,0.000
"org.apache.maven.surefire.api.cli.CommandLineOption.valueOf(java.lang.String)",0.006847508,0,0.000
"java.util.ServiceLoader$1.hasNext()",0.034237538,0,0.000
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run()",0.000021590,0,0.000
"org.apache.maven.surefire.shared.lang3.SystemUtils.getOsNameMatches(java.lang.String)",0.013695015,0,0.000
"org.apache.maven.surefire.booter.PropertiesWrapper.getClasspath(java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.LambdaForm.compileToBytecode()",0.006847508,0,0.000
"java.lang.invoke.BoundMethodHandle.<init>(java.lang.invoke.MethodType, java.lang.invoke.LambdaForm)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectClassBuilder.build()",0.013695015,0,0.000
"java.lang.classfile.ClassBuilder.withMethodBody(java.lang.String, java.lang.constant.MethodTypeDesc, int, java.util.function.Consumer)",0.020542523,0,0.000
"org.apache.maven.surefire.api.stream.AbstractStreamDecoder.readMessageType(org.apache.maven.surefire.api.stream.AbstractStreamDecoder$Memento)",0.001613148,0,0.000
"java.lang.invoke.LambdaForm$MH/0x0000000120058000.invoke",0.102712615,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.run(org.apache.maven.surefire.booter.ForkedBooter, java.lang.String[])",0.677903259,0,0.000
"jdk.internal.classfile.impl.DirectMethodBuilder.with(java.lang.classfile.ClassFileElement)",0.006847508,0,0.000
"jdk.internal.classfile.impl.UnboundAttribute.writeTo(jdk.internal.classfile.impl.DirectMethodBuilder)",0.006847508,0,0.000
"org.apache.maven.surefire.api.booter.MasterProcessCommand.<clinit>()",0.006847508,0,0.000
"jdk.internal.classfile.impl.StackMapGenerator.<init>(jdk.internal.classfile.impl.LabelContext, java.lang.constant.ClassDesc, java.lang.String, java.lang.constant.MethodTypeDesc, boolean, jdk.internal.classfile.impl.RawBytecodeHelper$CodeRange, jdk.internal.classfile.impl.SplitConstantPool, jdk.internal.classfile.impl.ClassFileImpl, java.util.List)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.spi.AbstractMasterProcessChannelProcessorFactory.<init>()",0.013695015,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory$6.accept(java.lang.Object)",0.006847508,0,0.000
"java.util.zip.InflaterInputStream.close()",0.006847508,0,0.000
"org.apache.maven.surefire.shared.lang3.SystemUtils.isOsNameMatch(java.lang.String, java.lang.String)",0.013695015,0,0.000
"java.net.URL.<init>(java.net.URL, java.lang.String, java.net.URLStreamHandler)",0.013695015,0,0.000
"java.lang.invoke.MethodHandles$Lookup.getDirectMethodForConstant(byte, java.lang.Class, java.lang.invoke.MemberName)",0.006847508,0,0.000
"java.util.concurrent.ConcurrentHashMap.addCount(long, int)",0.000021590,0,0.000
"sun.net.www.protocol.jar.Handler.parseContextSpec(java.net.URL, java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator$1.accept(java.lang.classfile.ClassBuilder)",0.006847508,0,0.000
"java.lang.invoke.MethodHandle.maybeCustomize()",0.006847508,0,0.000
"jdk.internal.ref.PhantomCleanable.<init>(java.lang.Object, java.lang.ref.Cleaner)",0.006847508,0,0.000
"java.util.jar.Manifest.<init>",0.006847508,0,0.000
"java.util.jar.Attributes.<init>()",0.006847508,0,0.000
"java.lang.invoke.MethodHandles$Lookup.linkMethodHandleConstant(byte, java.lang.Class, java.lang.String, java.lang.Object)",0.006847508,0,0.000
"java.lang.Class.privateGetDeclaredMethods(boolean)",0.027390031,0,0.000
"java.lang.ClassLoader.defineClass0",0.006847508,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.lookupDecoderFactory(java.lang.String)",0.054780061,0,0.000
"java.lang.ClassLoader.defineClass1",0.164340184,0,0.000
"java.util.jar.Manifest.getEntries()",0.006847508,0,0.000
"java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.<init>()",0.006847508,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator.methodSetup(java.lang.classfile.ClassBuilder, java.util.function.Consumer)",0.006847508,0,0.000
"org.apache.maven.surefire.junitplatform.CancellationTokenAdapter.<clinit>()",0.006847508,0,0.000
"java.util.jar.Manifest.<init>(java.util.jar.JarVerifier, java.io.InputStream, java.lang.String)",0.006847508,0,0.000
"org.apache.maven.surefire.shared.lang3.SystemProperties.getProperty(java.lang.String, java.util.function.Supplier)",0.027390031,0,0.000
"org.apache.maven.surefire.api.util.ReflectionUtils.invokeGetter(java.lang.Class, java.lang.Object, java.lang.String)",0.027390031,0,0.000
"jdk.internal.classfile.impl.Util.writeAttribute(jdk.internal.classfile.impl.BufWriterImpl, java.lang.classfile.Attribute)",0.006847508,0,0.000
"java.lang.Class.getConstructor0(java.lang.Class[], int)",0.020542523,0,0.000
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(java.lang.String, boolean)",0.554728371,0,0.000
"org.apache.maven.surefire.api.stream.AbstractStreamDecoder.<clinit>()",0.006847508,0,0.000
"java.lang.classfile.ClassFileBuilder.accept(java.lang.classfile.ClassFileElement)",0.006847508,0,0.000
"jdk.internal.loader.ClassLoaders$BootClassLoader.loadClassOrNull(java.lang.String, boolean)",0.027390031,0,0.000
"java.lang.System$In.read(byte[], int, int)",0.001583818,0,0.000
"java.lang.StringBuilder.<init>()",0.006847508,0,0.000
"java.lang.invoke.MethodHandles$Lookup.getDirectMethodCommon(byte, java.lang.Class, java.lang.invoke.MemberName, boolean, java.lang.invoke.MethodHandles$Lookup)",0.013695015,0,0.000
"java.lang.classfile.CodeBuilder.invoke",0.006847508,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory$3.accept(java.lang.classfile.CodeBuilder)",0.013695015,0,0.000
"jdk.internal.loader.BuiltinClassLoader.defineOrCheckPackage(java.lang.String, java.util.jar.Manifest, java.net.URL)",0.006847508,0,0.000
"jdk.internal.classfile.impl.BufWriterImpl.reserveSpace(int)",0.006847508,0,0.000
"java.util.zip.ZipFile.getInputStream(java.util.zip.ZipEntry)",0.020542523,0,0.000
"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial",0.116407630,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCodeBytes()",0.006847508,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.listenToShutdownCommands(java.lang.String)",0.116407630,0,0.000
"java.util.zip.ZipFile$ZipFileInflaterInputStream.<init>(java.util.zip.ZipFile, java.util.zip.ZipFile$ZipFileInputStream, java.util.zip.ZipFile$CleanableResource, java.util.zip.Inflater, int)",0.013695015,0,0.000
"org.apache.maven.surefire.api.testset.TestListResolver.<init>(java.util.Collection)",0.034237538,0,0.000
"sun.management.ManagementFactoryHelper.getRuntimeMXBean()",0.006847508,0,0.000
"jdk.internal.misc.Unsafe.allocateUninitializedArray(java.lang.Class, int)",0.006847508,0,0.000
"java.lang.Class.getDeclaredMethods0",0.027390031,0,0.000
"org.apache.maven.surefire.booter.stream.CommandDecoder.decode(org.apache.maven.surefire.api.stream.AbstractStreamDecoder$Memento)",0.001642478,0,0.000
"java.util.ServiceLoader$LazyClassPathLookupIterator.parse(java.net.URL)",0.006847508,0,0.000
"java.lang.Thread.run()",0.001934780,0,0.000
"java.lang.Character$UnicodeBlock.<clinit>()",0.006847508,0,0.000
"org.apache.maven.surefire.booter.BooterDeserializer.deserialize",0.006847508,0,0.000
"org.apache.maven.surefire.api.testset.TestListResolver.<clinit>()",0.034237538,0,0.000
"java.lang.Class.forName(java.lang.String, boolean, java.lang.ClassLoader)",0.013695015,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator$4.accept(java.lang.Object)",0.006847508,0,0.000
"org.apache.maven.surefire.api.util.ReflectionUtils.getMethod(java.lang.Class, java.lang.String, java.lang.Class[])",0.027390031,0,0.000
"java.lang.reflect.Constructor.acquireConstructorAccessor()",0.006847508,0,0.000
"java.lang.management.ManagementFactory.getPlatformMXBean(java.lang.Class)",0.006847508,0,0.000
"java.util.concurrent.ConcurrentHashMap.putIfAbsent(java.lang.Object, java.lang.Object)",0.000021590,0,0.000
"java.util.jar.JavaUtilJarAccessImpl.entryFor(java.util.jar.JarFile, java.lang.String)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectCodeBuilder.loadLocal(java.lang.classfile.TypeKind, int)",0.006847508,0,0.000
"java.lang.StringLatin1.indexOf(byte[], int, int, int)",0.013695015,0,0.000
"java.util.zip.InflaterInputStream.read(byte[], int, int)",0.219178905,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.buildCallSite()",0.061627569,0,0.000
"jdk.internal.classfile.impl.Util$1WithCodeMethodHandler.accept(java.lang.classfile.MethodBuilder)",0.020542523,0,0.000
"java.util.jar.Manifest.getTrustedAttributes(java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.DirectMethodHandle.make(byte, java.lang.Class, java.lang.invoke.MemberName, java.lang.Class)",0.006847508,0,0.000
"jdk.internal.reflect.MethodHandleAccessorFactory.makeConstructorHandle(java.lang.invoke.MethodHandle)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectClassBuilder.<init>(jdk.internal.classfile.impl.SplitConstantPool, jdk.internal.classfile.impl.ClassFileImpl, java.lang.classfile.constantpool.ClassEntry)",0.006847508,0,0.000
"java.lang.invoke.MethodHandleImpl.makePairwiseConvertByEditor(java.lang.invoke.MethodHandle, java.lang.invoke.MethodType, boolean, boolean)",0.006847508,0,0.000
"java.lang.ClassLoader.findBootstrapClass",0.020542523,0,0.000
"org.apache.maven.surefire.booter.spi.LegacyMasterProcessChannelProcessorFactory.createDecoder(org.apache.maven.surefire.api.fork.ForkNodeArguments)",0.041085046,0,0.000
"sun.net.www.protocol.jar.Handler.openConnection(java.net.URL)",0.006847508,0,0.000
"org.apache.maven.surefire.api.util.internal.Channels$3.readImpl(java.nio.ByteBuffer)",0.001583818,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory$1.accept(java.lang.Object)",0.027390031,0,0.000
